post_id,platform,username_hash,post_date,text,likes,retweets,hashtag
P001,X,u_7a2f,2026-02-09,"The dining hall pizza today was actually amazing #campuseats",42,6,campuseats
P002,X,u_11cd,2026-02-09,"Line at the dining hall was insane during lunch rush #campuseats",18,2,campuseats
P003,Instagram,u_9be0,2026-02-09,"Salad bar looked fresh today, props to the staff #campuseats",65,0,campuseats
P004,X,u_44aa,2026-02-08,"Why is the dining hall always out of the good cereal #campuseats",120,31,campuseats
P005,X,u_02de,2026-02-08,"Honestly the new vegan option is so good #campuseats",29,4,campuseats
P006,Instagram,u_6f31,2026-02-08,"Dining hall smoothie bowl was a 10/10 #campuseats",88,0,campuseats
P007,X,u_a91c,2026-02-07,"Cold food again at dinner, not the first time #campuseats",56,9,campuseats
P008,X,u_3d70,2026-02-07,"Shoutout to the omelet station, quick and tasty #campuseats",14,1,campuseats
P009,Instagram,u_c412,2026-02-07,"Dining hall decorated for the season, nice touch #campuseats",73,0,campuseats
P010,X,u_88e9,2026-02-06,"Waited 25 minutes just to check out, need more registers #campuseats",97,20,campuseats
P011,X,u_15bf,2026-02-06,"Underrated stir fry bar honestly #campuseats",22,3,campuseats
P012,Instagram,u_5a2e,2026-02-06,"New dessert bar is dangerous for my diet #campuseats",110,0,campuseats
P013,X,u_d073,2026-02-05,"Not enough gluten free options still #campuseats",33,7,campuseats
P014,X,u_2fc8,2026-02-05,"Coffee station finally got upgraded machines #campuseats",19,2,campuseats
P015,Instagram,u_ba61,2026-02-05,"Free samples day was a nice surprise #campuseats",58,0,campuseats
